رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,منچستر یونایتد (C),38,25,7,6,73,35,+38,82,مرحله گروهی لیگ قهرمانان اروپا,
2,نیوکاسل یونایتد,38,24,6,8,66,37,+29,78,مرحله اول جام یوفا,
3,لیورپول,38,20,11,7,70,34,+36,71,مرحله اول جام برندگان جام اروپا 1,
4,استون ویلا,38,18,9,11,52,35,+17,63,مرحله اول جام یوفا,
5,آرسنال,38,17,12,9,49,32,+17,63,,
6,اورتون,38,17,10,11,64,44,+20,61,,
7,بلکبرن راورز,38,18,7,13,61,47,+14,61,,
8,تاتنهام هاتسپر,38,16,13,9,50,38,+12,61,,
9,ناتینگهام فارست,38,15,13,10,50,54,−4,58,,
10,وستهام یونایتد,38,14,9,15,43,52,−9,51,,
11,چلسی,38,12,14,12,46,44,+2,50,,
12,میدلزبورو,38,11,10,17,35,50,−15,43,,
13,لیدز یونایتد,38,12,7,19,40,57,−17,43,,
14,ویمبلدون,38,10,11,17,55,70,−15,41,,
15,شفیلد ونزدی,38,10,10,18,48,61,−13,40,,
16,کاونتری سیتی,38,8,14,16,42,60,−18,38,,
17,ساوت‌همپتون,38,9,11,18,34,52,−18,38,,
18,منچستر سیتی (R),38,9,11,18,33,58,−25,38,سقوط به لیگ دسته اول فوتبال انگلستان,
19,کویینز پارک رنجرز (R),38,9,6,23,38,57,−19,33,,
20,بولتون واندررز (R),38,8,5,25,39,71,−32,29,,
