رتبه,بازیکن,باشگاه,Goals[۲]
۱,دیدیه دروگبا,چلسی,۲۹
۲,وین رونی,منچستر یونایتد,۲۶
۳,دارن بنت,ساندرلند,۲۴
۴,کارلوس توس,منچستر سیتی,۲۳
۵,فرانک لمپارد,چلسی,۲۲
۶,فرناندو تورس,لیورپول,۱۸
۶,جرمین دفو,تاتنهام,۱۸
۸,سسک فابرگاس,آرسنال,۱۵
۹,امانوئل آدبایور,منچستر سیتی,۱۴
۱۰,گابریل آگبونلاهور,استون ویلا,۱۳
۱۰,لوئیس ساها,اورتون,۱۳
