رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال چلسی (C),۳۸,۲۷,۵,۶,۱۰۳,۳۲,۷۱+,۸۶,Qualification for the لیگ قهرمانان اروپا ۱۱–۲۰۱۰
۲,باشگاه فوتبال منچستر یونایتد,۳۸,۲۷,۴,۷,۸۶,۲۸,۵۸+,۸۵,Qualification for the لیگ قهرمانان اروپا ۱۱–۲۰۱۰
۳,باشگاه فوتبال آرسنال,۳۸,۲۳,۶,۹,۸۳,۴۱,۴۲+,۷۵,Qualification for the لیگ قهرمانان اروپا ۱۱–۲۰۱۰
۴,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۲۱,۷,۱۰,۶۷,۴۱,۲۶+,۷۰,Qualification for the لیگ قهرمانان اروپا ۱۱–۲۰۱۰
۵,باشگاه فوتبال منچستر سیتی,۳۸,۱۸,۱۳,۷,۷۳,۴۵,۲۸+,۶۷,Qualification for the Europa League play-off round[a]
۶,باشگاه فوتبال استون ویلا,۳۸,۱۷,۱۳,۸,۵۲,۳۹,۱۳+,۶۴,Qualification for the Europa League play-off round[a]
۷,باشگاه فوتبال لیورپول,۳۸,۱۸,۹,۱۱,۶۱,۳۵,۲۶+,۶۳,Qualification for the Europa League third qualifying round[b]
۸,باشگاه فوتبال اورتون,۳۸,۱۶,۱۳,۹,۶۰,۴۹,۱۱+,۶۱,
۹,باشگاه فوتبال بیرمنگام سیتی,۳۸,۱۳,۱۱,۱۴,۳۸,۴۷,۹−,۵۰,
۱۰,باشگاه فوتبال بلکبرن روورز,۳۸,۱۳,۱۱,۱۴,۴۱,۵۵,۱۴−,۵۰,
۱۱,باشگاه فوتبال استوک سیتی,۳۸,۱۱,۱۴,۱۳,۳۴,۴۸,۱۴−,۴۷,
۱۲,باشگاه فوتبال فولام,۳۸,۱۲,۱۰,۱۶,۳۹,۴۶,۷−,۴۶,
۱۳,باشگاه فوتبال ساندرلند,۳۸,۱۱,۱۱,۱۶,۴۸,۵۶,۸−,۴۴,
۱۴,باشگاه فوتبال بولتون واندررز,۳۸,۱۰,۹,۱۹,۴۲,۶۷,۲۵−,۳۹,
۱۵,باشگاه فوتبال ولورهمپتون واندررز,۳۸,۹,۱۱,۱۸,۳۲,۵۶,۲۴−,۳۸,
۱۶,باشگاه فوتبال ویگان اتلتیک,۳۸,۹,۹,۲۰,۳۷,۷۹,۴۲−,۳۶,
۱۷,باشگاه فوتبال وستهام یونایتد,۳۸,۸,۱۱,۱۹,۴۷,۶۶,۱۹−,۳۵,
۱۸,باشگاه فوتبال برنلی (R),۳۸,۸,۶,۲۴,۴۲,۸۲,۴۰−,۳۰,Relegation to the Football League Championship
۱۹,باشگاه فوتبال هال سیتی (R),۳۸,۶,۱۲,۲۰,۳۴,۷۵,۴۱−,۳۰,Relegation to the Football League Championship
۲۰,باشگاه فوتبال پورتسموث (R),۳۸,۷,۷,۲۴,۳۴,۶۶,۳۲−,۱۹[c],Relegation to the Football League Championship
