Pos,Team,Total,High,Low,Average,Change
1.0,Manchester United,1415471,74556,74400,74498,−0.6%†
2.0,Arsenal,1138072,60030,59493,59899,+1.0%†
3.0,West Ham United,1108375,59988,56811,58336,+2.6%†
4.0,Tottenham Hotspur,1030111,81332,29164,54216,−20.2%†
5.0,Manchester City,1028477,54511,53307,54130,+0.6%†
6.0,Liverpool,1006668,53373,50965,52983,−0.1%†
7.0,Newcastle United,971297,52242,48323,51121,−1.7%†
8.0,Chelsea,768297,40721,38593,40437,−2.0%†
9.0,Everton,736815,39400,38113,38780,0.0%†
10.0,Leicester City,605161,32149,30558,31851,+0.8%†
11.0,Cardiff City,596844,33082,29402,31413,+55.8%1
12.0,Wolverhampton Wanderers,589572,31436,30130,31030,+9.7%1
13.0,Brighton & Hove Albion,578085,30682,29323,30426,+0.1%†
14.0,Southampton,572640,31890,27077,30139,−2.1%†
15.0,Crystal Palace,483644,25789,24738,25455,+1.6%†
16.0,Fulham,463051,25401,22008,24371,+22.5%1
17.0,Huddersfield Town,440822,24263,17082,23201,−3.5%†
18.0,Burnley,390148,21741,18497,20534,−0.7%†
19.0,Watford,380297,20540,17301,20016,−1.1%†
20.0,Bournemouth,200107,10986,9980,10532,−1.0%†
,League total,14503954,81332,9980,38168,−0.3%†
