Player,For,Against,Result,Date,Ref
Sergio Agüero,Manchester City,Huddersfield Town,6–1 (H),19 August 2018,[115]
Eden Hazard,Chelsea,Cardiff City,4–1 (H),15 September 2018,[116]
Mohamed Salah,Liverpool,Bournemouth,4–0 (A),8 December 2018,[117]
Roberto Firmino,Liverpool,Arsenal,5–1 (H),29 December 2018,[118]
Diogo Jota,Wolverhampton Wanderers,Leicester City,4–3 (H),19 January 2019,[119]
Sergio Agüero,Manchester City,Arsenal,3–1 (H),3 February 2019,[120]
Sergio Agüero,Manchester City,Chelsea,6–0 (H),10 February 2019,[121]
Gerard Deulofeu,Watford,Cardiff City,5–1 (A),22 February 2019,[122]
Raheem Sterling,Manchester City,Watford,3–1 (H),9 March 2019,[123]
Lucas Moura,Tottenham Hotspur,Huddersfield Town,4–0 (H),13 April 2019,[124]
Ayoze Pérez,Newcastle United,Southampton,3–1 (H),20 April 2019,[125]
