Team,Location,Stadium,Capacity[23]
Arsenal,London (Holloway),Emirates Stadium,60260
Bournemouth,Bournemouth,Dean Court,11329
Brighton & Hove Albion,Falmer,Falmer Stadium,30666
Burnley,Burnley,Turf Moor,21944
Cardiff City,Cardiff,Cardiff City Stadium,33316
Chelsea,London (Fulham),Stamford Bridge,40853
Crystal Palace,London (Selhurst),Selhurst Park,26074
Everton,Liverpool (Walton),Goodison Park,39221
Fulham,London (Fulham),Craven Cottage,25700
Huddersfield Town,Huddersfield,Kirklees Stadium,24121
Leicester City,Leicester,King Power Stadium,32273
Liverpool,Liverpool (Anfield),Anfield,54074
Manchester City,Manchester (Bradford),City of Manchester Stadium,55017
Manchester United,Manchester (Old Trafford),Old Trafford,74879
Newcastle United,Newcastle upon Tyne,St James' Park,52354
Southampton,Southampton,St Mary's Stadium,32384
Tottenham Hotspur,London (Wembley),Wembley Stadium[a],"90,000[b]"
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62062
Watford,Watford,Vicarage Road,20400
West Ham United,London (Stratford),London Stadium,60000
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050
