Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Unai Emery,Laurent Koscielny,Puma[33],Fly Emirates[34],Visit Rwanda[35]
Bournemouth,Eddie Howe,Simon Francis[36],Umbro[37],M88[38],Mansion Group[39]
Brighton & Hove Albion,Chris Hughton,Bruno[40],Nike[41],American Express[41],JD[42]
Burnley,Sean Dyche,Tom Heaton[43],Puma[44],LaBa360[45],AstroPay
Cardiff City,Neil Warnock,Sean Morrison,Adidas,Tourism Malaysia,JD[46]
Chelsea,Maurizio Sarri,Gary Cahill[47],Nike[48],Yokohama Tyres[49],Hyundai[50]
Crystal Palace,Roy Hodgson,Luka Milivojević,Puma[51],ManBetX[52],Dongqiudi
Everton,Marco Silva,Phil Jagielka,Umbro[53],SportPesa[54],Angry Birds[55]
Fulham,Scott Parker,Tom Cairney,Adidas,Dafabet,ICM[56]
Huddersfield Town,Jan Siewert,Tommy Smith[57],Umbro[58],OPE Sports[59],Leisu Sports[60]
Leicester City,Brendan Rodgers,Wes Morgan[61],Adidas[62],King Power[63],Bia Saigon[64]
Liverpool,Jürgen Klopp,Jordan Henderson[65],New Balance[66],Standard Chartered[67],Western Union[68]
Manchester City,Pep Guardiola,Vincent Kompany[69],Nike[70],Etihad Airways[71],Nexen Tire[72]
Manchester United,Ole Gunnar Solskjær,Antonio Valencia[73],Adidas[74],Chevrolet[75],Kohler[76]
Newcastle United,Rafael Benítez,Jamaal Lascelles,Puma[77],Fun88[78],–
Southampton,Ralph Hasenhüttl,Pierre-Emile Højbjerg[a],Under Armour[79],Virgin Media[80],Virgin Media[80]
Tottenham Hotspur,Mauricio Pochettino,Hugo Lloris[81],Nike[82],AIA[83],
Watford,Javi Gracia,Troy Deeney[84],Adidas[85],FxPro,MoPlay[86]
West Ham United,Manuel Pellegrini,Mark Noble[87],Umbro[88],Betway[89],Basset & Gold[90]
Wolverhampton Wanderers,Nuno Espírito Santo,Conor Coady,Adidas[91],W88[92],CoinDeal[93]
