Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Arsenal,Arsène Wenger,Retired,13 May 2018[94],Pre-season,Unai Emery,23 May 2018[95]
Everton,Sam Allardyce,Sacked,16 May 2018[96],Pre-season,Marco Silva,31 May 2018[97]
West Ham United,David Moyes,End of contract,16 May 2018[98],Pre-season,Manuel Pellegrini,22 May 2018[99]
Chelsea,Antonio Conte,Sacked,13 July 2018[100],Pre-season,Maurizio Sarri,14 July 2018[101]
Fulham,Slaviša Jokanović,Sacked,14 November 2018[102],20th,Claudio Ranieri,14 November 2018[102]
Southampton,Mark Hughes,Sacked,3 December 2018[103],18th,Ralph Hasenhüttl,5 December 2018[104]
Manchester United,José Mourinho,Sacked,18 December 2018[105],6th,Ole Gunnar Solskjær[a],19 December 2018[106][107]
Huddersfield Town,David Wagner,Mutual consent,14 January 2019[108],20th,Jan Siewert,21 January 2019[109]
Leicester City,Claude Puel,Sacked,24 February 2019[110],12th,Brendan Rodgers,26 February 2019[111]
Fulham,Claudio Ranieri,Sacked,28 February 2019[112],19th,Scott Parker[b],28 February 2019[112][113]
