Rank,Player,Club,Clean sheets[126]
1,Alisson,Liverpool,21
2,Ederson,Manchester City,20
3,Kepa Arrizabalaga,Chelsea,14
3,Jordan Pickford,Everton,14
5,Hugo Lloris,Tottenham Hotspur,12
6,Martin Dúbravka,Newcastle United,11
7,Neil Etheridge,Cardiff City,10
7,Kasper Schmeichel,Leicester City,10
9,David de Gea,Manchester United,7
9,Łukasz Fabiański,West Ham United,7
9,Ben Foster,Watford,7
9,Vicente Guaita,Crystal Palace,7
9,Rui Patrício,Wolverhampton Wanderers,7
