PFA Team of the Year[163],PFA Team of the Year[163].1,PFA Team of the Year[163].2,PFA Team of the Year[163].3,PFA Team of the Year[163].4,PFA Team of the Year[163].5,PFA Team of the Year[163].6,PFA Team of the Year[163].7,PFA Team of the Year[163].8,PFA Team of the Year[163].9,PFA Team of the Year[163].10,PFA Team of the Year[163].11,PFA Team of the Year[163].12
Goalkeeper,Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City)
Defenders,Trent Alexander-Arnold (Liverpool),Trent Alexander-Arnold (Liverpool),Trent Alexander-Arnold (Liverpool),Aymeric Laporte (Manchester City),Aymeric Laporte (Manchester City),Aymeric Laporte (Manchester City),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),Andrew Robertson (Liverpool),Andrew Robertson (Liverpool),Andrew Robertson (Liverpool)
Midfielders,Bernardo Silva (Manchester City),Bernardo Silva (Manchester City),Bernardo Silva (Manchester City),Bernardo Silva (Manchester City),Fernandinho (Manchester City),Fernandinho (Manchester City),Fernandinho (Manchester City),Fernandinho (Manchester City),Paul Pogba (Manchester United),Paul Pogba (Manchester United),Paul Pogba (Manchester United),Paul Pogba (Manchester United)
Forwards,Raheem Sterling (Manchester City),Raheem Sterling (Manchester City),Raheem Sterling (Manchester City),Raheem Sterling (Manchester City),Sergio Agüero (Manchester City),Sergio Agüero (Manchester City),Sergio Agüero (Manchester City),Sergio Agüero (Manchester City),Sadio Mané (Liverpool),Sadio Mané (Liverpool),Sadio Mané (Liverpool),Sadio Mané (Liverpool)
,,,,,,,,,,,,
