PFA Team of the Year[194],PFA Team of the Year[194].1,PFA Team of the Year[194].2,PFA Team of the Year[194].3,PFA Team of the Year[194].4,PFA Team of the Year[194].5,PFA Team of the Year[194].6,PFA Team of the Year[194].7,PFA Team of the Year[194].8,PFA Team of the Year[194].9,PFA Team of the Year[194].10,PFA Team of the Year[194].11,PFA Team of the Year[194].12
Goalkeeper,Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest),Matz Sels (Nottingham Forest)
Defenders,William Saliba (Arsenal),William Saliba (Arsenal),William Saliba (Arsenal),Gabriel (Arsenal),Gabriel (Arsenal),Gabriel (Arsenal),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),Milos Kerkez (Bournemouth),Milos Kerkez (Bournemouth),Milos Kerkez (Bournemouth)
Midfielders,Alexis Mac Allister (Liverpool),Alexis Mac Allister (Liverpool),Alexis Mac Allister (Liverpool),Alexis Mac Allister (Liverpool),Ryan Gravenberch (Liverpool),Ryan Gravenberch (Liverpool),Ryan Gravenberch (Liverpool),Ryan Gravenberch (Liverpool),Declan Rice (Arsenal),Declan Rice (Arsenal),Declan Rice (Arsenal),Declan Rice (Arsenal)
Forwards,Mohamed Salah (Liverpool),Mohamed Salah (Liverpool),Mohamed Salah (Liverpool),Mohamed Salah (Liverpool),Alexander Isak (Newcastle United),Alexander Isak (Newcastle United),Alexander Isak (Newcastle United),Alexander Isak (Newcastle United),Chris Wood (Nottingham Forest),Chris Wood (Nottingham Forest),Chris Wood (Nottingham Forest),Chris Wood (Nottingham Forest)
,,,,,,,,,,,,
