Award,Winner,Club
Premier League Manager of the Season[186],Arne Slot,Liverpool
Premier League Player of the Season[131],Mohamed Salah,Liverpool
Premier League Young Player of the Season[187],Ryan Gravenberch,Liverpool
Premier League Goal of the Season[188],Omar Marmoush,Manchester City
Premier League Most Powerful Goal[189],Alexander Isak,Newcastle United
Premier League Save of the Season[190],Emiliano Martínez,Aston Villa
PFA Players' Player of the Year[191],Mohamed Salah,Liverpool
PFA Young Player of the Year[192],Morgan Rogers,Aston Villa
FWA Footballer of the Year[193],Mohamed Salah,Liverpool
