Rank,Player,Club,Clean sheets[145]
1,David Raya,Arsenal,13
1,Matz Sels,Nottingham Forest,13
3,Jordan Pickford,Everton,12
4,Dean Henderson,Crystal Palace,11
5,Ederson,Manchester City,10
5,Robert Sánchez,Chelsea,10
7,Alisson,Liverpool,9
7,André Onana,Manchester United,9
9,Kepa Arrizabalaga,Bournemouth,8
9,Emiliano Martínez,Aston Villa,8
9,Nick Pope,Newcastle United,8
