Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Goal of the Month,Goal of the Month,Save of the Month,Save of the Month,References
Month,Manager,Club,Player,Club,Player,Club,Player,Club,References
August,Fabian Hürzeler,Brighton & Hove Albion,Erling Haaland,Manchester City,Cole Palmer,Chelsea,David Raya,Arsenal,[150][151][152][153]
September,Enzo Maresca,Chelsea,Cole Palmer,Chelsea,Jhon Durán,Aston Villa,André Onana,Manchester United,[154][155][156][157]
October,Nuno Espírito Santo,Nottingham Forest,Chris Wood,Nottingham Forest,Nicolas Jackson,Chelsea,Robert Sánchez,Chelsea,[158][159][160][161]
November,Arne Slot,Liverpool,Mohamed Salah,Liverpool,Harry Wilson,Fulham,André Onana,Manchester United,[162][163][164][165]
December,Nuno Espírito Santo,Nottingham Forest,Alexander Isak,Newcastle United,Alexander Isak,Newcastle United,Emiliano Martínez,Aston Villa,[166][167][168][169]
January,Andoni Iraola,Bournemouth,Justin Kluivert,Bournemouth,David Brooks,Bournemouth,Martin Dúbravka,Newcastle United,[170][171][172][173]
February,David Moyes,Everton,Mohamed Salah,Liverpool,Kaoru Mitoma,Brighton & Hove Albion,Kepa Arrizabalaga,Bournemouth,[174][175][176][177]
March,Nuno Espírito Santo,Nottingham Forest,Bruno Fernandes,Manchester United,Jens Cajuste,Ipswich Town,David Raya,Arsenal,[178][179][180][181]
April,Vítor Pereira,Wolverhampton Wanderers,Alexis Mac Allister,Liverpool,Carlos Baleba,Brighton & Hove Albion,Guglielmo Vicario,Tottenham Hotspur,[182][183][184][185]
