رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,بلکبرن راورز (C),42,27,8,7,80,39,+41,89,مرحله گروهی لیگ قهرمانان اروپا,
2,منچستر یونایتد,42,26,10,6,77,28,+49,88,مرحله اول جام یوفا,
3,باشگاه فوتبال ناتینگهام فارست,42,22,11,9,72,43,+29,77,,
4,لیورپول,42,21,11,10,65,37,+28,74,,
5,لیدز یونایتد,42,20,13,9,59,38,+21,73,,
6,نیوکاسل یونایتد,42,20,12,10,67,47,+20,72,,
7,تاتنهام هاتسپر,42,16,14,12,66,58,+8,62,,
8,کویینز پارک رنجرز,42,17,9,16,61,59,+2,60,,
9,ویمبلدون,42,15,11,16,48,65,−17,56,,
10,ساوت‌همپتون,42,12,18,12,61,63,−2,54,,
11,چلسی,42,13,15,14,50,55,−5,54,,
12,آرسنال,42,13,12,17,52,49,+3,51,,
13,شفیلد ونزدی,42,13,12,17,49,57,−8,51,,
14,وستهام یونایتد,42,13,11,18,44,48,−4,50,,
15,اورتون,42,11,17,14,44,51,−7,50,مرحله اول جام برندگان جام اروپا 1,
16,کاونتری سیتی,42,12,14,16,44,62,−18,50,,
17,منچستر سیتی,42,12,13,17,53,64,−11,49,,
18,استون ویلا,42,11,15,16,51,56,−5,48,,
19,کریستال پالاس (R),42,11,12,19,34,49,−15,45,سقوط به لیگ دسته اول فوتبال انگلستان,
20,نورویچ سیتی (R),42,10,13,19,37,54,−17,43,,
21,لستر سیتی (R),42,6,11,25,45,80,−35,29,,
22,ایپسویچ تاون (R),42,7,6,29,36,93,−57,27,,
