رتبه,بازیکن,باشگاه,گل
۱,آلن شیرر,بلکبرن راورز,۳۴
۲,رابی فاولر,لیورپول,۲۵
۳,لس فردیناند,کویینز پارک رنجرز,۲۴
۴,استن کالیمور,ناتینگهام فارست,۲۲
۵,اندرو کول,نیوکاسل یونایتد/منچستر یونایتد,۲۱
۵,یورگن کلینزمن,تاتنهام هاتسپر,۲۱
7,متیو لو تیسیه,ساوت‌همپتون,۲۰
۸,تدی شرینگهام,تاتنهام هاتسپر,۱۸
۸,یان رایت,آرسنال,۱۸
۱۰,اوه روسلر,منچستر سیتی,۱۵
۱۰,دین ساندرز,استون ویلا,۱۵
۱۰,کریس ساتن,بلکبرن راورز,۱۵
