Month,Manager of the Month,Manager of the Month,References
Month,Manager,Club,References
August,Alex Ferguson,Manchester United,[29]
September,Joe Kinnear,Wimbledon,[29]
October,Mike Walker,Norwich City,[29]
November,Kevin Keegan,Newcastle United,[29]
December,Trevor Francis,Sheffield Wednesday,[29]
January,Kenny Dalglish,Blackburn Rovers,[29]
February,Joe Royle,Oldham Athletic,[29]
March,Joe Kinnear,Wimbledon,[29]
April,Joe Kinnear,Wimbledon,[29]
