Rank,Player,Club,Clean sheets[24]
1,David Seaman,Arsenal,19
2,Peter Schmeichel,Manchester United,15
3,Luděk Mikloško,West Ham United,14
4,Tim Flowers,Southampton,13
5,Dmitri Kharine,Chelsea,11
5,Steve Ogrizovic,Coventry City,11
5,Hans Segers,Wimbledon,11
5,Neville Southall,Everton,11
9,Tony Coton,Manchester City,10
9,Craig Forrest,Ipswich Town,10
9,Bryan Gunn,Norwich City,10
