Award,Winner,Club
Premier League Manager of the Season,Alex Ferguson[30],Manchester United
PFA Players' Player of the Year,Eric Cantona[31],Manchester United
PFA Young Player of the Year,Andy Cole[32],Newcastle United
FWA Footballer of the Year,Alan Shearer[33],Blackburn Rovers
