رتبه,بازیکن,باشگاه,گل[۱]
۱,تدی شرینگهام,ناتینگهام فارست تاتنهام هاتسپر,۲۲
۲,لس فردیناند,کویینز پارک رنجرز,۲۰
۳,دین هولدوورث,ویمبلدون,۱۹
۴,میکی کویین,کاونتری سیتی,۱۷
۵,آلن شیرر,بلکبرن راورز,۱۶
۵,دیوید ویث,منچستر سیتی,۱۶
۷,کریس آرمسترانگ,کریستال پالاس,۱۵
۷,اریک کانتونا,لیدز یونایتد منچستر یونایتد,۱۵
۷,برایان دین,شفیلد یونایتد,۱۵
۷,مارک هیوز,منچستر یونایتد,۱۵
۷,متیو لو تیسیه,ساوت‌همپتون,۱۵
۷,مارک روبینز,نورویچ سیتی,۱۵
۷,پل ویلکینسون,میدلزبورو,۱۵
۷,یان رایت,آرسنال,۱۵
