رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال منچستر یونایتد (C),۴۲,۲۴,۱۲,۶,۶۷,۳۱,۳۶+,۸۴,Qualification for the Champions League first round
۲,باشگاه فوتبال استون ویلا,۴۲,۲۱,۱۱,۱۰,۵۷,۴۰,۱۷+,۷۴,Qualification for the UEFA Cup first round[a]
۳,باشگاه فوتبال نوریچ سیتی,۴۲,۲۱,۹,۱۲,۶۱,۶۵,۴−,۷۲,Qualification for the UEFA Cup first round[a]
۴,باشگاه فوتبال بلکبرن روورز,۴۲,۲۰,۱۱,۱۱,۶۸,۴۶,۲۲+,۷۱,
۵,باشگاه فوتبال کویینز پارک رنجرز,۴۲,۱۷,۱۲,۱۳,۶۳,۵۵,۸+,۶۳,
۶,باشگاه فوتبال لیورپول,۴۲,۱۶,۱۱,۱۵,۶۲,۵۵,۷+,۵۹,
۷,باشگاه فوتبال شفیلد ونزدی,۴۲,۱۵,۱۴,۱۳,۵۵,۵۱,۴+,۵۹,
۸,باشگاه فوتبال تاتنهام هاتسپر,۴۲,۱۶,۱۱,۱۵,۶۰,۶۶,۶−,۵۹,
۹,باشگاه فوتبال منچستر سیتی,۴۲,۱۵,۱۲,۱۵,۵۶,۵۱,۵+,۵۷,
۱۰,باشگاه فوتبال آرسنال,۴۲,۱۵,۱۱,۱۶,۴۰,۳۸,۲+,۵۶,Qualification for the Cup Winners' Cup first round[b]
۱۱,باشگاه فوتبال چلسی,۴۲,۱۴,۱۴,۱۴,۵۱,۵۴,۳−,۵۶,
۱۲,باشگاه فوتبال ویمبلدون,۴۲,۱۴,۱۲,۱۶,۵۶,۵۵,۱+,۵۴,
۱۳,باشگاه فوتبال اورتون,۴۲,۱۵,۸,۱۹,۵۳,۵۵,۲−,۵۳,
۱۴,باشگاه فوتبال شفیلد یونایتد,۴۲,۱۴,۱۰,۱۸,۵۴,۵۳,۱+,۵۲,
۱۵,باشگاه فوتبال کاونتری سیتی,۴۲,۱۳,۱۳,۱۶,۵۲,۵۷,۵−,۵۲,
۱۶,باشگاه فوتبال ایپسویچ تاون,۴۲,۱۲,۱۶,۱۴,۵۰,۵۵,۵−,۵۲,
۱۷,باشگاه فوتبال لیدز یونایتد,۴۲,۱۲,۱۵,۱۵,۵۷,۶۲,۵−,۵۱,
۱۸,باشگاه فوتبال ساوت‌همپتون,۴۲,۱۳,۱۱,۱۸,۵۴,۶۱,۷−,۵۰,
۱۹,باشگاه فوتبال اولدهام اتلتیک,۴۲,۱۳,۱۰,۱۹,۶۳,۷۴,۱۱−,۴۹,
۲۰,باشگاه فوتبال کریستال پالاس (R),۴۲,۱۱,۱۶,۱۵,۴۸,۶۱,۱۳−,۴۹,Relegation to the Football League First Division
۲۱,باشگاه فوتبال میدلزبرو (R),۴۲,۱۱,۱۱,۲۰,۵۴,۷۵,۲۱−,۴۴,Relegation to the Football League First Division
۲۲,باشگاه فوتبال ناتینگهام فارست (R),۴۲,۱۰,۱۰,۲۲,۴۱,۶۲,۲۱−,۴۰,Relegation to the Football League First Division
