Player,For,Against,Result,Date,Ref
Robbie Fowler,Liverpool,Leicester City,4–1 (A),20 October 2001,[10]
Paul Kitson,West Ham United,Charlton Athletic,4–4 (A),19 November 2001,[11]
Ruud van Nistelrooy,Manchester United,Southampton,6–1 (H),22 December 2001,[12]
Robbie Fowler,Leeds United,Bolton Wanderers,3–0 (A),26 December 2001,[13]
Ole Gunnar Solskjær,Manchester United,Bolton Wanderers,4–0 (A),29 January 2002,[14]
Jimmy Floyd HasselbainkP,Chelsea,Tottenham Hotspur,4–0 (H),13 March 2002,[15]
Fredi Bobic,Bolton Wanderers,Ipswich Town,4–1 (H),6 April 2002,[16]
