Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Laurent Koscielny1[16],Puma[17],Emirates[18]
Bournemouth,Eddie Howe,Simon Francis[19],JD Sports[20],Mansion Group[21]
Burnley,Sean Dyche,Tom Heaton[22],Puma[23],Dafabet[24]
Chelsea,Antonio Conte,John Terry[25],Adidas[26],Yokohama[27]
Crystal Palace,Sam Allardyce,Scott Dann[28],Macron[29],Mansion Group[30]
Everton,Ronald Koeman,Phil Jagielka[31],Umbro[32],Chang[33]
Hull City,Marco Silva,Michael Dawson[34],Umbro[35],SportPesa[36]
Leicester City,Craig Shakespeare (caretaker),Wes Morgan[37],Puma[38],King Power[39]
Liverpool,Jürgen Klopp,Jordan Henderson[40],New Balance[41],Standard Chartered[42]
Manchester City,Pep Guardiola,Vincent Kompany[43],Nike[44],Etihad Airways[45]
Manchester United,José Mourinho,Wayne Rooney[46],Adidas[47],Chevrolet[48]
Middlesbrough,Steve Agnew (caretaker),Grant Leadbitter[49],Adidas[50],Ramsdens[51]
Southampton,Claude Puel,Steven Davis,Under Armour[52],Virgin Media[53]
Stoke City,Mark Hughes,Ryan Shawcross[54],Macron[55],bet365[56]
Sunderland,David Moyes,John O'Shea[57],Adidas[58],Dafabet[59]
Swansea City,Paul Clement,Leon Britton[60],Joma[61],BetEast[62]
Tottenham Hotspur,Mauricio Pochettino,Hugo Lloris[63],Under Armour[64],AIA[65]
Watford,Walter Mazzarri,Troy Deeney[66],Dryworld[67],138.com[68]
West Bromwich Albion,Tony Pulis,Darren Fletcher[69],Adidas[70],UK-K8.com[71]
West Ham United,Slaven Bilić,Mark Noble[72],Umbro[73],Betway[74]
