Rank,Player,Club,Clean sheets[114]
1,Thibaut Courtois,Chelsea,16
2,Hugo Lloris,Tottenham Hotspur,15
3,David de Gea,Manchester United,14
3,Fraser Forster,Southampton,14
5,Petr Čech,Arsenal,12
6,Tom Heaton,Burnley,10
6,Joel Robles,Everton,10
8,Artur Boruc,Bournemouth,9
8,Lee Grant,Stoke City,9
8,Simon Mignolet,Liverpool,9
