Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Portsmouth,Alain Perrin,Sacked,24 November 2005[7],17th,Harry Redknapp,2 December 2005
Newcastle United,Graeme Souness,Sacked,2 February 2006[8],15th,Glenn Roeder (caretaker),2 February 2006
Sunderland,Mick McCarthy,Sacked,6 March 2006[9],20th,Kevin Ball (caretaker),7 March 2006
