رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,منچستر سیتی,۳۸,۳۲,۲,۴,۹۵,۲۳,۷۲+,۹۸,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۲,لیورپول,۳۸,۳۰,۷,۱,۸۹,۲۲,۶۷+,۹۷,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۳,چلسی,۳۸,۲۱,۹,۸,۶۳,۳۹,۲۴+,۷۲,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۴,تاتنهام,۳۸,۲۳,۲,۱۳,۶۷,۳۹,۲۸+,۷۱,راه‌یابی به مرحله گروهی لیگ قهرمانان اروپا
۵,آرسنال,۳۸,۲۱,۷,۱۰,۷۳,۵۱,۲۲+,۷۰,راه‌یابی به مرحله گروهی لیگ اروپا
۶,منچستر یونایتد,۳۸,۱۹,۹,۱۰,۶۵,۵۴,۱۱+,۶۶,راه‌یابی به دور دوم مرحله مقدماتی لیگ اروپا
۷,ولورهمپتون,۳۸,۱۶,۹,۱۳,۴۷,۴۶,۱+,۵۷,
۸,اورتون,۳۸,۱۵,۹,۱۴,۵۴,۴۶,۸+,۵۴,
۹,لستر سیتی,۳۸,۱۵,۷,۱۶,۵۱,۴۸,۳+,۵۲,
۱۰,وستهام یونایتد,۳۸,۱۵,۷,۱۶,۵۲,۵۵,۳−,۵۲,
۱۱,واتفورد,۳۸,۱۴,۸,۱۶,۵۲,۵۹,۷−,۵۰,
۱۲,کریستال پالاس,۳۸,۱۴,۷,۱۷,۵۱,۵۳,۲−,۴۹,
۱۳,نیوکاسل,۳۸,۱۲,۹,۱۷,۴۲,۴۸,۶−,۴۵,
۱۴,بورنموث,۳۸,۱۳,۶,۱۹,۵۶,۷۰,۱۴−,۴۵,
۱۵,برنلی,۳۸,۱۱,۷,۲۰,۴۵,۶۸,۲۳−,۴۰,
۱۶,ساوتهمپتون,۳۸,۹,۱۲,۱۷,۴۵,۶۵,۲۰−,۳۹,
۱۷,برایتون,۳۸,۹,۹,۲۰,۳۵,۶۰,۲۵−,۳۶,
۱۸,کاردیف سیتی,۳۸,۱۰,۴,۲۴,۳۴,۶۹,۳۵−,۳۴,سقوط به چمپیونشیپ
۱۹,فولام,۳۸,۷,۵,۲۶,۳۴,۸۱,۴۷−,۲۶,سقوط به چمپیونشیپ
۲۰,هادرزفیلد تاون,۳۸,۳,۷,۲۸,۲۲,۷۶,۵۴−,۱۶,سقوط به چمپیونشیپ
