تیم سال پی‌اف‌ای[۱۱۸],تیم سال پی‌اف‌ای[۱۱۸].1,تیم سال پی‌اف‌ای[۱۱۸].2,تیم سال پی‌اف‌ای[۱۱۸].3,تیم سال پی‌اف‌ای[۱۱۸].4,تیم سال پی‌اف‌ای[۱۱۸].5,تیم سال پی‌اف‌ای[۱۱۸].6,تیم سال پی‌اف‌ای[۱۱۸].7,تیم سال پی‌اف‌ای[۱۱۸].8,تیم سال پی‌اف‌ای[۱۱۸].9,تیم سال پی‌اف‌ای[۱۱۸].10,تیم سال پی‌اف‌ای[۱۱۸].11,تیم سال پی‌اف‌ای[۱۱۸].12
دروازه‌بان,ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی),ادرسون (منچستر سیتی)
دفاع,ترنت الکساندر-آرنولد (لیورپول),ترنت الکساندر-آرنولد (لیورپول),ترنت الکساندر-آرنولد (لیورپول),آیموریک لاپورت (منچسترسیتی),آیموریک لاپورت (منچسترسیتی),آیموریک لاپورت (منچسترسیتی),ویرجیل فن دایک (لیورپول),ویرجیل فن دایک (لیورپول),ویرجیل فن دایک (لیورپول),اندرو رابرتسون (لیورپول),اندرو رابرتسون (لیورپول),اندرو رابرتسون (لیورپول)
هافبک,برناردو سیلوا (منچسترسیتی),برناردو سیلوا (منچسترسیتی),برناردو سیلوا (منچسترسیتی),برناردو سیلوا (منچسترسیتی),فرناندینیو (منچسترسیتی),فرناندینیو (منچسترسیتی),فرناندینیو (منچسترسیتی),فرناندینیو (منچسترسیتی),پل پوگبا (منچستر یونایتد),پل پوگبا (منچستر یونایتد),پل پوگبا (منچستر یونایتد),پل پوگبا (منچستر یونایتد)
حمله,رحیم استرلینگ (منچسترسیتی),رحیم استرلینگ (منچسترسیتی),رحیم استرلینگ (منچسترسیتی),رحیم استرلینگ (منچسترسیتی),سرخیو آگوئرو (منچسترسیتی),سرخیو آگوئرو (منچسترسیتی),سرخیو آگوئرو (منچسترسیتی),سرخیو آگوئرو (منچسترسیتی),سادیو مانه (لیورپول),سادیو مانه (لیورپول),سادیو مانه (لیورپول),سادیو مانه (لیورپول)
