رتبه,بازیکن,باشگاه,تعداد کلین شیت[۹۱]
۱,الیسون بکر,لیورپول,۲۱
۲,ادرسون,منچسترسیتی,۲۰
۳,کپا آریزابالاگا,چلسی,۱۴
۳,جردن پیکفورد,اورتون,۱۴
۵,هوگو لوریس,تاتنهام,۱۲
۶,مارتین دوبراوکا,نیوکاسل یونایتد,۱۱
۷,نیل اتریج,کاردیف سیتی,۱۰
۷,کاسپر اشمایکل,لسترسیتی,۱۰
۹,داوید د خیا,منچستریونایتد,۷
۹,بن فاستر,واتفورد,۷
۹,روی پاتریسیو,ولورهمپتون واندرز,۷
۹,ووکاش فابیانیسکی,وستهام یونایتد,۷
