تیم,سرمربی برکنارشده,علت برکناری,تاریخ برکناری,رتبه در جدول رده‌بندی لیگ,سرمربی جایگزین,تاریخ آغاز
باشگاه فوتبال آرسنال,آرسن ونگر,Resigned,13 May 2018[۶۳],Pre-season,اونای امری,23 May 2018[۶۴]
باشگاه فوتبال اورتون,سم الردایس,Sacked,16 May 2018[۶۵],Pre-season,مارکو سیلوا,31 May 2018[۶۶]
باشگاه فوتبال وستهام یونایتد,دیوید مویس,End of contract,16 May 2018[۶۷],Pre-season,مانوئل پلگرینی,22 May 2018[۶۸]
باشگاه فوتبال چلسی,آنتونیو کونته,Sacked,13 July 2018[۶۹],Pre-season,مائوریتسیو ساری,14 July 2018[۷۰]
باشگاه فوتبال فولام,Slaviša Jokanović,Sacked,14 November 2018[۷۱],20th,Claudio Ranieri,14 November 2018[۷۱]
باشگاه فوتبال ساوت‌همپتون,Mark Hughes,Sacked,3 December 2018[۷۲],18th,Ralph Hasenhüttl,5 December 2018[۷۳]
باشگاه فوتبال منچستر یونایتد,José Mourinho,Sacked,18 December 2018[۷۴],6th,Ole Gunnar Solskjær (caretaker),19 December 2018[۷۵]
باشگاه فوتبال هادرزفیلد تاون,David Wagner,Mutual consent,14 January 2019[۷۶],20th,Jan Siewert,21 January 2019[۷۷]
