رتبه,بازیکن,باشگاه,گل[۷۸]
۱,پیر امریک اوبامیانگ,آرسنال,۲۲
۱,سادیو مانه,لیورپول,۲۲
۱,محمد صلاح,لیورپول,۲۲
۴,سرخیو آگوئرو,منچسترسیتی,۲۱
۵,جیمی واردی,لسترسیتی,۱۸
۶,هری کین,تاتنهام,۱۷
۶,رحیم استرلینگ,منچسترسیتی,۱۷
۸,ادن هازارد,چلسی,۱۶
۹,کالوم ویلسون,بورنموث,۱۴
۱۰,پل پوگبا,منچستریونایتد,۱۳
۱۰,الکساندر لاکازت,آرسنال,۱۳
۱۰,گلن مورای,برایتون,۱۳
۱۰,رائول خیمنز,ولورهمپتون,۱۳
۱۰,ریچارلیسون,اورتون,۱۳
۱۰,گیلوی سیگرسون,اورتون,۱۳
