بازیکن,برای,برابر,نتیجه,تاریخ,منبع
سرخیو آگوئرو,منچستر سیتی,هادرزفیلد تاون,6–1 (H),۱۹ اوت ۲۰۱۸,[۷۹]
ادن هازارد,چلسی,کاردیف سیتی,4–1 (H),۱۵ سپتامبر ۲۰۱۸,[۸۰]
محمد صلاح,لیورپول,بورنموث,4–0 (A),۸ دسامبر ۲۰۱۸,[۸۱]
روبرتو فیرمینو,لیورپول,آرسنال,5–1 (H),۲۹ دسامبر ۲۰۱۸,[۸۲]
دیگو ژوتا,ولورهمپتون واندرز,لسترسیتی,4–3 (H),۱۹ ژانویه ۲۰۱۹,[۸۳]
سرخیو آگوئرو,منچستر سیتی,آرسنال,3–1 (H),۳ فوریه ۲۰۱۹,[۸۴]
سرخیو آگوئرو,منچستر سیتی,چلسی,6–0 (H),۱۰ فوریه ۲۰۱۹,[۸۵]
جرارد دلوفئو,واتفورد,کاردیف,5–1 (A),۲۲ فوریه ۲۰۱۹,[۸۶]
رحیم استرلینگ,منچسترسیتی,واتفورد,3–1 (H),۹ مارس ۲۰۱۹,[۸۷]
لوکاس مورا,تاتنهام,هادرزفیلد,4–0 (H),۱۳ آوریل ۲۰۱۹,[۸۸]
آیوزه پرز,نیوکاسل,ساهتمپتون,3–1 (H),۲۰ آوریل ۲۰۱۹,[۸۹]
