Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,Glenn Hoddle[17],Tottenham Hotspur,Sylvain Wiltord[18],Arsenal
September,Arsène Wenger[19],Arsenal,Thierry Henry[19],Arsenal
October,Gérard Houllier[20],Liverpool,Gianfranco Zola[20],Chelsea
November,David Moyes[21],Everton,James Beattie[22],Southampton
December,Gordon Strachan[23],Southampton,Alan Shearer[24],Newcastle United
January,Sir Bobby Robson[25],Newcastle United,Paul Scholes[26],Manchester United
February,Alan Curbishley[27],Charlton Athletic,Robert Pires[28],Arsenal
March,Glenn Roeder[29],West Ham United,Steven Gerrard[30],Liverpool
April,Sir Alex Ferguson[31],Manchester United,Ruud van Nistelrooy[31],Manchester United
