Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Leeds United,David O'Leary,Sacked,27 June 2002,Pre-season,Terry Venables,8 July 2002
Sunderland,Peter Reid,Sacked,7 October 2002[4],17th,Howard Wilkinson,10 October 2002[5]
Sunderland,Howard Wilkinson,Sacked,10 March 2003[6],20th,Mick McCarthy,12 March 2003[7]
Leeds United,Terry Venables,Sacked,21 March 2003[8],15th,Peter Reid,21 March 2003[9]
Fulham,Jean Tigana,Sacked,17 April 2003[10],15th,Chris Coleman (caretaker),17 April 2003
West Ham United,Glenn Roeder,Illness,22 April 2003[11],18th,Trevor Brooking (caretaker),25 April 2003
