Rank,Player,Club,Clean sheets[35]
1,Bobby Mimms,Blackburn Rovers,19
2,Peter Schmeichel,Manchester United,18
3,David Seaman,Arsenal,15
4,Hans Segers,Wimbledon,13
5,Tony Coton,Manchester City,11
5,Bryan Gunn,Norwich City,11
5,John Lukic,Leeds United,11
5,Nigel Martyn,Crystal Palace,11
5,Neville Southall,Everton,11
10,Tim Flowers,Southampton,10
