Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Norwich City,David Williams,End of caretaker spell,1 May 1992,Pre-season,Mike Walker,1 June 1992
Coventry City,Don Howe,End of caretaker spell,14 May 1992,Pre-season,Bobby Gould,6 June 1992
Tottenham Hotspur,Peter Shreeves,Sacked,19 May 1992,Pre-season,Doug Livermore  Ray Clemence,19 May 1992
Chelsea,Ian Porterfield,Sacked,15 February 1993,12th,David Webb,15 February 1993
