Rank,Player,Club,Assists[34]
1,Eric Cantona,Leeds United Manchester United,16
2,Darren Anderton,Tottenham Hotspur,11
2,Niall Quinn,Manchester City,11
4,Brian Deane,Sheffield United,10
4,Matt Le Tissier,Southampton,10
4,Jason Wilcox,Blackburn Rovers,10
7,Jason Dozzell,Ipswich Town,9
7,Rick Holden,Manchester City,9
7,Lee Sharpe,Manchester United,9
7,Teddy Sheringham,Tottenham Hotspur,9
7,Andy Sinton,Queens Park Rangers,9
7,Ian Woan,Nottingham Forest,9
