Award,Winner,Club
PFA Players' Player of the Year[40],Paul McGrath,Aston Villa
PFA Young Player of the Year[40],Ryan Giggs,Manchester United
FWA Footballer of the Year[41],Chris Waddle,Sheffield Wednesday
