#,Football club,Home games,Average attendance[44]
1,Liverpool FC,21,37009
2,Manchester United,21,35084
3,Aston Villa,21,29594
4,Leeds United,21,29228
5,Tottenham Hotspur,21,27878
6,Sheffield Wednesday,21,27264
7,Manchester City,21,24698
8,Arsenal FC,21,24403
9,Nottingham Forest,21,21910
10,Everton FC,21,20455
11,Sheffield United,21,19057
12,Chelsea FC,21,18754
13,Ipswich Town,21,18188
14,Middlesbrough FC,21,16724
15,Norwich City,21,16253
16,Blackburn Rovers,21,16248
17,Crystal Palace FC,21,15726
18,Southampton FC,21,15148
19,Coventry City,21,15024
20,Queens Park Rangers,21,15001
21,Oldham Athletic,21,12859
22,Wimbledon FC,21,8405
