PFA Team of the Year[47],PFA Team of the Year[47].1,PFA Team of the Year[47].2,PFA Team of the Year[47].3,PFA Team of the Year[47].4,PFA Team of the Year[47].5,PFA Team of the Year[47].6,PFA Team of the Year[47].7,PFA Team of the Year[47].8,PFA Team of the Year[47].9,PFA Team of the Year[47].10,PFA Team of the Year[47].11,Unnamed: 12
Goalkeeper,Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United),Edwin van der Sar (Manchester United)
Defenders,Bacary Sagna (Arsenal),Bacary Sagna (Arsenal),Bacary Sagna (Arsenal),Nemanja Vidić (Manchester United),Nemanja Vidić (Manchester United),Nemanja Vidić (Manchester United),Vincent Kompany (Manchester City),Vincent Kompany (Manchester City),Vincent Kompany (Manchester City),Ashley Cole (Chelsea),Ashley Cole (Chelsea),Ashley Cole (Chelsea)
Midfielders,Nani (Manchester United),Nani (Manchester United),Nani (Manchester United),Samir Nasri (Arsenal),Samir Nasri (Arsenal),Samir Nasri (Arsenal),Jack Wilshere (Arsenal),Jack Wilshere (Arsenal),Jack Wilshere (Arsenal),Gareth Bale (Tottenham Hotspur),Gareth Bale (Tottenham Hotspur),Gareth Bale (Tottenham Hotspur)
Forwards,Carlos Tevez (Manchester City),Carlos Tevez (Manchester City),Carlos Tevez (Manchester City),Carlos Tevez (Manchester City),Carlos Tevez (Manchester City),Carlos Tevez (Manchester City),Dimitar Berbatov (Manchester United),Dimitar Berbatov (Manchester United),Dimitar Berbatov (Manchester United),Dimitar Berbatov (Manchester United),Dimitar Berbatov (Manchester United),Dimitar Berbatov (Manchester United)
