Rank,Player,Club,Clean sheets
1,Joe Hart,Manchester City,18
2,Petr Čech,Chelsea,15
3,Pepe Reina,Liverpool,14
3,Edwin van der Sar,Manchester United,14
5,Mark Schwarzer,Fulham,11
6,Ben Foster,Birmingham City,9
6,Tim Howard,Everton,9
8,Asmir Begovic,Stoke City,8
8,Simon Mignolet,Sunderland,8
8,Paul Robinson,Blackburn Rovers,8
