#,Football club,Home games,Average attendance[55]
1,Manchester United,19,75109
2,Arsenal FC,19,60025
3,Newcastle United,19,47718
4,Manchester City,19,45905
5,Liverpool FC,19,42820
6,Chelsea FC,19,41435
7,Sunderland AFC,19,40011
8,Aston Villa,19,37194
9,Everton FC,19,35934
10,Tottenham Hotspur,19,35704
11,West Ham United,19,33404
12,Wolverhampton Wanderers,19,27696
13,Stoke City,19,26858
14,Birmingham City,19,25462
15,Fulham FC,19,25043
16,Blackburn Rovers,19,25000
17,West Bromwich Albion,19,24683
18,Bolton Wanderers,19,22870
19,Wigan Athletic,19,16812
20,Blackpool FC,19,15780
