رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال منچستر سیتی (C),۳۸,۲۷,۵,۶,۱۰۲,۳۷,۶۵+,۸۶,Qualification for the لیگ قهرمانان اروپا ۱۵–۲۰۱۴
۲,باشگاه فوتبال لیورپول,۳۸,۲۶,۶,۶,۱۰۱,۵۰,۵۱+,۸۴,Qualification for the لیگ قهرمانان اروپا ۱۵–۲۰۱۴
۳,باشگاه فوتبال چلسی,۳۸,۲۵,۷,۶,۷۱,۲۷,۴۴+,۸۲,Qualification for the لیگ قهرمانان اروپا ۱۵–۲۰۱۴
۴,باشگاه فوتبال آرسنال,۳۸,۲۴,۷,۷,۶۸,۴۱,۲۷+,۷۹,Qualification for the لیگ قهرمانان اروپا ۱۵–۲۰۱۴
۵,باشگاه فوتبال اورتون,۳۸,۲۱,۹,۸,۶۱,۳۹,۲۲+,۷۲,Qualification for the Europa League group stage
۶,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۲۱,۶,۱۱,۵۵,۵۱,۴+,۶۹,Qualification for the Europa League play-off round[a]
۷,باشگاه فوتبال منچستر یونایتد,۳۸,۱۹,۷,۱۲,۶۴,۴۳,۲۱+,۶۴,
۸,باشگاه فوتبال ساوت‌همپتون,۳۸,۱۵,۱۱,۱۲,۵۴,۴۶,۸+,۵۶,
۹,باشگاه فوتبال استوک سیتی,۳۸,۱۳,۱۱,۱۴,۴۵,۵۲,۷−,۵۰,
۱۰,باشگاه فوتبال نیوکاسل یونایتد,۳۸,۱۵,۴,۱۹,۴۳,۵۹,۱۶−,۴۹,
۱۱,باشگاه فوتبال کریستال پالاس,۳۸,۱۳,۶,۱۹,۳۳,۴۸,۱۵−,۴۵,
۱۲,باشگاه فوتبال سوانزی سیتی,۳۸,۱۱,۹,۱۸,۵۴,۵۴,۰,۴۲,
۱۳,باشگاه فوتبال وستهام یونایتد,۳۸,۱۱,۷,۲۰,۴۰,۵۱,۱۱−,۴۰,
۱۴,باشگاه فوتبال ساندرلند,۳۸,۱۰,۸,۲۰,۴۱,۶۰,۱۹−,۳۸,
۱۵,باشگاه فوتبال استون ویلا,۳۸,۱۰,۸,۲۰,۳۹,۶۱,۲۲−,۳۸,
۱۶,باشگاه فوتبال هال سیتی,۳۸,۱۰,۷,۲۱,۳۸,۵۳,۱۵−,۳۷,Qualification for the Europa League third qualifying round[b]
۱۷,باشگاه فوتبال وست برومویچ آلبیون,۳۸,۷,۱۵,۱۶,۴۳,۵۹,۱۶−,۳۶,
۱۸,باشگاه فوتبال نوریچ سیتی (R),۳۸,۸,۹,۲۱,۲۸,۶۲,۳۴−,۳۳,Relegation to the Championship
۱۹,باشگاه فوتبال فولام (R),۳۸,۹,۵,۲۴,۴۰,۸۵,۴۵−,۳۲,Relegation to the Championship
۲۰,باشگاه فوتبال کاردیف سیتی (R),۳۸,۷,۹,۲۲,۳۲,۷۴,۴۲−,۳۰,Relegation to the Championship
