رتبه,بازیکن,باشگاه,گل[۲]
۱,لوییس آلبرتو سوارز,لیورپول,۳۱
۲,دنیل استاریج,لیورپول,۲۱
۳,یحیی توره,منچستر سیتی,۲۰
۴,سرخیو آگوئرو,منچستر سیتی,۱۷
۴,وین رونی,منچستر یونایتد,۱۷
۶,ویلفرید بونی,سوانزی سیتی,۱۶
۶,ادین ژکو,منچستر سیتی,۱۶
۶,اولیویر ژیرو,آرسنال,۱۶
۹,روملو لوکاکو,اورتون,۱۵
۹,جی رودریگز,ساوت‌همپتون,۱۵
