رتبه,بازیکن,باشگاه,گل[۷۲]
۱,محمد صلاح,Liverpool,۲۹
۲,الکساندر ایساک,Newcastle United,۲۳
۳,ارلینگ هالند,Manchester City,۲۲
۴,برایان امبومو,Brentford,۲۰
۴,کریس وود,Nottingham Forest,۲۰
۶,یوآن ویسا,Brentford,۱۹
۷,اولی واتکینز,Aston Villa,۱۶
۸,ماتئوس کونیا,Wolverhampton Wanderers,۱۵
۸,کول پالمر,Chelsea,۱۵
۱۰,یورگن استرند لارسن,Wolverhampton Wanderers,۱۴
۱۰,ژان-فیلیپ ماتتا,Crystal Palace,۱۴
