رتبه,بازیکن,باشگاه,کلین شیت[۸۵]
۱,داوید رایا,Arsenal,۱۳
۱,متز سلز,Nottingham Forest,۱۳
۳,جردن پیکفورد,Everton,۱۲
۴,دین هندرسون,Crystal Palace,۱۱
۵,ادرسون مورائس,Manchester City,۱۰
۵,روبرت سانچز,Chelsea,۱۰
۷,آلیسون بکر,Liverpool,۹
۷,آندره اونانا,Manchester United,۹
۹,کپا آریزابالاگا,Bournemouth,۸
۹,امیلیانو مارتینز,Aston Villa,۸
۹,نیک پوپ,Newcastle United,۸
