#,Football club,Home games,Average attendance[78]
1,Manchester United,19,75387
2,Arsenal FC,19,60000
3,Newcastle United,19,49936
4,Manchester City,19,47045
5,Liverpool FC,19,44253
6,Chelsea FC,19,41478
7,Sunderland AFC,19,39095
8,Tottenham Hotspur,19,36026
9,Aston Villa,19,33873
10,Everton FC,19,33228
11,Stoke City,19,27226
12,Norwich City,19,26606
13,Wolverhampton Wanderers,19,25682
14,Fulham FC,19,25293
15,West Bromwich Albion,19,24798
16,Bolton Wanderers,19,23670
17,Blackburn Rovers,19,22551
18,Swansea City,19,19946
19,Wigan Athletic,19,18634
20,Queens Park Rangers,19,17295
