Player,For,Against,Result,Date
Edin Džeko4,Manchester City,Tottenham Hotspur,5–1[36],28 August 2011
Wayne Rooney,Manchester United,Arsenal,8–2[37],28 August 2011
Sergio Agüero,Manchester City,Wigan Athletic,3–0[38],10 September 2011
Wayne Rooney,Manchester United,Bolton Wanderers,5–0[39],10 September 2011
Demba Ba,Newcastle United,Blackburn Rovers,3–1[40],24 September 2011
Frank Lampard,Chelsea,Bolton Wanderers,5–1[41],2 October 2011
Andrew Johnson,Fulham,Queens Park Rangers,6–0[42],2 October 2011
Robin van Persie,Arsenal,Chelsea,5–3[43],29 October 2011
Demba Ba,Newcastle United,Stoke City,3–1[44],31 October 2011
Yakubu4,Blackburn Rovers,Swansea City,4–2[45],3 December 2011
Dimitar Berbatov,Manchester United,Wigan Athletic,5–0[46],26 December 2011
Clint Dempsey,Fulham,Newcastle United,5–2[47],21 January 2012
Robin van Persie,Arsenal,Blackburn Rovers,7–1[48],4 February 2012
Peter Odemwingie,West Bromwich Albion,Wolverhampton Wanderers,5–1[49],12 February 2012
Pavel Pogrebnyak,Fulham,Wolverhampton Wanderers,5–0[50],4 March 2012
Steven Gerrard,Liverpool,Everton,3–0[51],13 March 2012
Carlos Tevez,Manchester City,Norwich City,6–1[52],14 April 2012
Luis Suárez,Liverpool,Norwich City,3–0[53],28 April 2012
Fernando Torres,Chelsea,Queens Park Rangers,6–1[54],29 April 2012
