Rank,Player,Club,Clean sheets
1,Joe Hart,Manchester City,17
2,Tim Krul,Newcastle United,15
3,Brad Friedel,Tottenham Hotspur,14
3,Michel Vorm,Swansea City,14
5,David de Gea,Manchester United,13
5,Wojciech Szczesny,Arsenal,13
7,Tim Howard,Everton,12
7,Pepe Reina,Liverpool,12
9,Simon Mignolet,Sunderland,11
10,Petr Čech,Chelsea,10
10,Ben Foster,West Bromwich Albion,10
10,Mark Schwarzer,Fulham,10
