Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August[58][59],Sir Alex Ferguson,Manchester United,Edin Džeko,Manchester City
September[60][61],Harry Redknapp,Tottenham Hotspur,David Silva,Manchester City
October[62],Roberto Mancini,Manchester City,Robin van Persie,Arsenal
November[63],Harry Redknapp,Tottenham Hotspur,Scott Parker,Tottenham Hotspur
December[64],Martin O'Neill,Sunderland,Demba Ba,Newcastle United
January[65][66],Brendan Rodgers,Swansea City,Gareth Bale,Tottenham Hotspur
February[67],Arsène Wenger,Arsenal,Peter Odemwingie,West Bromwich Albion
March[68][69],Owen Coyle,Bolton Wanderers,Gylfi Sigurðsson,Swansea City
April[70],Roberto Martínez,Wigan Athletic,Nikica Jelavić,Everton
