Player,For,Against,Result,Date
Erling Haaland,Manchester City,Crystal Palace,4–2 (H)[129],27 August 2022
Erling Haaland,Manchester City,Nottingham Forest,6–0 (H)[130],31 August 2022
Ivan Toney,Brentford,Leeds United,5–2 (H)[131],3 September 2022
Son Heung-min,Tottenham Hotspur,Leicester City,6–2 (H)[132],17 September 2022
Leandro Trossard,Brighton & Hove Albion,Liverpool,3–3 (A)[133],1 October 2022
Erling Haaland,Manchester City,Manchester United,6–3 (H)[134],2 October 2022
Phil Foden,Manchester City,Manchester United,6–3 (H)[134],2 October 2022
Erling Haaland,Manchester City,Wolverhampton Wanderers,3–0 (H)[135],22 January 2023
