Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Goal of the Month,Goal of the Month,Save of the Month,Save of the Month,References
Month,Manager,Club,Player,Club,Player,Club,Player,Club,References
August,Mikel Arteta,Arsenal,Erling Haaland,Manchester City,Allan Saint-Maximin,Newcastle United,Nick Pope,Newcastle United,[141][142][143][144]
September,Erik ten Hag,Manchester United,Marcus Rashford,Manchester United,Ivan Toney,Brentford,Jordan Pickford,Everton,[145][146][147][148]
October,Eddie Howe,Newcastle United,Miguel Almirón,Newcastle United,Miguel Almirón,Newcastle United,Kepa Arrizabalaga,Chelsea,[149][150][151][152]
November/ December,Mikel Arteta,Arsenal,Martin Ødegaard,Arsenal,Demarai Gray,Everton,Gavin Bazunu,Southampton,[153][154][155][156]
January,Mikel Arteta,Arsenal,Marcus Rashford,Manchester United,Michael Olise,Crystal Palace,Nick Pope,Newcastle United,[157][158][159][160]
February,Erik ten Hag,Manchester United,Marcus Rashford,Manchester United,Willian,Fulham,David de Gea,Manchester United,[161][162][163][164]
March,Mikel Arteta,Arsenal,Bukayo Saka,Arsenal,Jonny,Wolverhampton Wanderers,Aaron Ramsdale,Arsenal,[165][166][167][168]
April,Unai Emery,Aston Villa,Erling Haaland,Manchester City,Matheus Nunes,Wolverhampton Wanderers,Aaron Ramsdale,Arsenal,[169][170][171][172]
