Award,Winner,Club
Premier League Manager of the Season[173],Pep Guardiola,Manchester City
Premier League Player of the Season[174],Erling Haaland,Manchester City
Premier League Young Player of the Season[175],Erling Haaland,Manchester City
Premier League Goal of the Season[176],Julio Enciso,Brighton & Hove Albion
Premier League Save of the Season[177],Kepa Arrizabalaga,Chelsea
Premier League Game Changer of the Season[178],Reiss Nelson,Arsenal
Premier League Most Powerful Goal[179],Saïd Benrahma,West Ham United
PFA Players' Player of the Year[180],Erling Haaland,Manchester City
PFA Young Player of the Year[180],Bukayo Saka,Arsenal
FWA Footballer of the Year[181],Erling Haaland,Manchester City
PFA Fans' Player of the Year[182],Marcus Rashford,Manchester United
