#,Football club,Home games,Average attendance[183]
1,Manchester United,19,73671
2,West Ham United,19,62462
3,Tottenham Hotspur,19,61585
4,Arsenal FC,19,60191
5,Manchester City,19,53249
6,Liverpool FC,19,53183
7,Newcastle United,19,52127
8,Aston Villa,19,41707
9,Chelsea FC,19,40002
10,Everton FC,19,39241
11,Leeds United,19,36566
12,Leicester City,19,31887
13,Brighton & Hove Albion,19,31477
14,Wolverhampton Wanderers,19,31345
15,Southampton FC,19,30440
16,Nottingham Forest,19,29188
17,Crystal Palace FC,19,25209
18,Fulham FC,19,23746
19,Brentford FC,19,17078
20,AFC Bournemouth,19,10362
