رتبه,بازیکن,باشگاه,گل
۱,هری کین,تاتنهام هاتسپر,۲۹
۲,روملو لوکاکو,اورتون,۲۵
۳,الکسیس سانچز,آرسنال,۲۴
۴,سرخیو آگوئرو,منچستر سیتی,۲۰
۴,دیگو کوستا,چلسی,۲۰
۶,دله الی,تاتنهام هاتسپر,۱۸
۷,زلاتان ابراهیموویچ,منچستر یونایتد,۱۷
۸,ادن آزار,چلسی,۱۶
۸,جاشوا کینگ,ای‌اف‌سی بورنموث,۱۶
۱۰,کریستین بنتک,کریستال پالاس,۱۵
۱۰,جرمین دفو,ساندرلند,۱۵
۱۰,فرناندو یورنته,سوانزی سیتی,۱۵
