بازیکن,برای,برابر,نتیجه,تاریخ,منبع
روملو لوکاکو,اورتون,ساندرلند,۳–۰,۱۲ سپتامبر ۲۰۱۶,[۶۰]
الکسیس سانچز,آرسنال,وستهام یونایتد,۵–۱,۳ دسامبر ۲۰۱۶,[۶۱]
جیمی واردی,لستر سیتی,منچستر سیتی,۴–۲,۱۰ دسامبر ۲۰۱۶,[۶۲]
خوزه سالومون روندون,وست برومویچ آلبیون,سوانزی سیتی,۳–۱,۱۴ دسامبر ۲۰۱۶,[۶۳]
آندره گری,برنلی,ساندرلند,۴–۱,۳۱ دسامبر ۲۰۱۶,[۶۴]
هری کین,تاتنهام هاتسپر,وست برومویچ آلبیون,۴–۰,۱۴ ژانویه ۲۰۱۷,[۶۵]
روملو لوکاکو4,اورتون,ای‌اف‌سی بورنموث,۶–۳,۴ فوریه ۲۰۱۷,[۶۶]
هری کین,تاتنهام هاتسپر,استوک سیتی,۴–۰,۲۶ فوریه ۲۰۱۷,[۶۷]
جاشوا کینگ,ای‌اف‌سی بورنموث,وستهام یونایتد,۳–۲,۱۱ مارس ۲۰۱۷,[۶۸]
هری کین4,تاتنهام هاتسپر,لستر سیتی,۶–۱,۱۸ مه ۲۰۱۷,[۶۹]
هری کین,تاتنهام هاتسپر,هال سیتی,۷–۱,۲۱ مه ۲۰۱۷,[۷۰]
