تیم,مربی برکنارشده,علت برکناری,تاریخ برکناری,موقعیت در جدول,مربی جدید,تاریخ شروع
ساوت‌همپتون,رونالد کومان,پیوستن به اورتون,۱۴ ژوئن ۲۰۱۶[۴۵],قبل از آغاز فصل,کلود پوئل,۳۰ ژوئن ۲۰۱۶[۴۶]
اورتون,دیوید آنسوورث,پایان سرپرستی,۱۴ ژوئن ۲۰۱۶[۴۷],قبل از آغاز فصل,رونالد کومان,۱۴ ژوئن ۲۰۱۶[۴۷]
چلسی,گاس هیدینک,پایان سرپرستی,۳۰ ژوئن ۲۰۱۶[۴۸],قبل از آغاز فصل,آنتونیو کونته,۱ جولای ۲۰۱۶[۴۸]
منچستر سیتی,مانوئل پیگرینی,رضایت متقابل,۳۰ ژوئن ۲۰۱۶[۴۹],قبل از آغاز فصل,پپ گواردیولا,۱ جولای ۲۰۱۶[۵۰]
واتفورد,کیکه فلورس,رضایت متقابل,۳۰ ژوئن ۲۰۱۶[۵۱],قبل از آغاز فصل,والتر ماتزاری,۱ جولای ۲۰۱۶[۵۲]
هال سیتی,استیو بروس,استعفا,۲۲ جولای ۲۰۱۶[۵۳],قبل از آغاز فصل,مایک فلان,۲۲ جولای ۲۰۱۶[۵۴][۵۵]
ساندرلند,سم الردایس,پیوستن به تیم ملی فوتبال انگلستان,۲۲ جولای ۲۰۱۶[۵۶],قبل از آغاز فصل,دیوید مویس,۲۳ جولای ۲۰۱۶[۵۷]
سوانزی سیتی,Francesco Guidolin,اخراج,۳ اکتبر ۲۰۱۶[۵۸],۱۷ام,باب برادلی,۳ اکتبر ۲۰۱۶[۵۸]
