رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال چلسی (C),۳۸,۳۰,۳,۵,۸۵,۳۳,—,۹۳,صعود به لیگ قهرمانان اروپا ۱۸–۲۰۱۷
۲,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۲۶,۸,۴,۸۶,۲۶,—,۸۶,صعود به لیگ قهرمانان اروپا ۱۸–۲۰۱۷
۳,باشگاه فوتبال منچستر سیتی,۳۸,۲۳,۹,۶,۸۰,۳۹,—,۷۸,صعود به لیگ قهرمانان اروپا ۱۸–۲۰۱۷
۴,باشگاه فوتبال لیورپول,۳۸,۲۲,۱۰,۶,۷۸,۴۲,—,۷۶,صعود به لیگ قهرمانان اروپا ۱۸–۲۰۱۷
۵,باشگاه فوتبال آرسنال,۳۸,۲۳,۶,۹,۷۷,۴۴,—,۷۵,صعود به لیگ اروپا ۱۸–۲۰۱۷[a]
۶,باشگاه فوتبال منچستر یونایتد,۳۸,۱۸,۱۵,۵,۵۴,۲۹,—,۶۹,صعود به لیگ قهرمانان اروپا ۱۸–۲۰۱۷[b]
۷,باشگاه فوتبال اورتون,۳۸,۱۷,۱۰,۱۱,۶۲,۴۴,—,۶۱,صعود به لیگ اروپا ۱۸–۲۰۱۷
۸,باشگاه فوتبال ساوت‌همپتون,۳۸,۱۲,۱۰,۱۶,۴۱,۴۸,—,۴۶,
۹,باشگاه فوتبال ای. اف. سی بورنموث,۳۸,۱۲,۱۰,۱۶,۵۵,۶۷,—,۴۶,
۱۰,باشگاه فوتبال وست برومویچ آلبیون,۳۸,۱۲,۹,۱۷,۴۳,۵۱,—,۴۵,
۱۱,باشگاه فوتبال وستهام یونایتد,۳۸,۱۲,۹,۱۷,۴۷,۶۴,—,۴۵,
۱۲,باشگاه فوتبال لستر سیتی,۳۸,۱۲,۸,۱۸,۴۸,۶۳,—,۴۴,
۱۳,باشگاه فوتبال استوک سیتی,۳۸,۱۱,۱۱,۱۶,۴۱,۵۶,—,۴۴,
۱۴,باشگاه فوتبال کریستال پالاس,۳۸,۱۲,۵,۲۱,۵۰,۶۳,—,۴۱,
۱۵,باشگاه فوتبال سوانزی سیتی,۳۸,۱۲,۵,۲۱,۴۵,۷۰,—,۴۱,
۱۶,باشگاه فوتبال برنلی,۳۸,۱۱,۷,۲۰,۳۹,۵۵,—,۴۰,
۱۷,باشگاه فوتبال واتفورد,۳۸,۱۱,۷,۲۰,۴۰,۶۸,—,۴۰,
۱۸,باشگاه فوتبال هال سیتی (R),۳۸,۹,۷,۲۲,۳۷,۸۰,—,۳۴,سقوط به چمپیونشیپ
۱۹,باشگاه فوتبال میدلزبورو (R),۳۸,۵,۱۳,۲۰,۲۷,۵۳,—,۲۸,سقوط به چمپیونشیپ
۲۰,باشگاه فوتبال ساندرلند (R),۳۸,۶,۶,۲۶,۲۹,۶۹,—,۲۴,سقوط به چمپیونشیپ
