تیم,موقعیت,ورزشگاه,گنجایش
آرسنال,ایزلینگتون، لندن بزرگ,ورزشگاه امارات,۶۰٬۴۳۲
بورنموث,بورنموث، همپشر,دین کورت,۱۱٬۴۶۴
برنلی,برنلی، لانکاشر,تارف مور,۲۲٬۵۴۶
چلسی,فولام، لندن بزرگ,استمفورد بریج,۴۱٬۶۲۳
کریستال پالاس,کرویدون، لندن بزرگ,سلهارست پارک,۲۶٬۳۰۹
اورتون,لیورپول، مرزیساید,گودیسون پارک,۳۹٬۵۷۲
هال سیتی,هال، ایست رادینگ آو یورک‌شر,ورزشگاه کی‌کوم,۲۵٬۴۰۴
لستر سیتی,لستر، لسترشر,کینگ پاور,۳۲٬۵۰۰
لیورپول,لیورپول، مرزیساید,آنفیلد,۵۵٬۰۹۷
منچستر سیتی,منچستر، منچستر بزرگ,ورزشگاه اتحاد,۵۵٬۰۹۷
منچستر یونایتد,ترافورد، منچستر بزرگ,اولدترافورد,۷۶٬۱۰۰
میدلزبورو,میدلزبورو، یورک‌شر شمالی,ورزشگاه ریورساید,۳۵٬۱۰۰
ساوت‌همپتون,ساوت‌همپتون، همپشر,ورزشگاه سنت مری,۳۲٬۶۸۹
استوک سیتی,استوک-آن-ترنت، استافوردشر,ورزشگاه بت ۳۶۵,۲۸٬۳۸۳
ساندرلند,ساندرلند، تاین و ور,ورزشگاه روشنایی,۴۹٬۰۰۰
سوانزی سیتی,سوانزی,ورزشگاه لیبرتی,۲۰٬۹۷۲
تاتنهام هاتسپر,تاتنهام، لندن بزرگ,وایت هارت لن,۳۲٬۰۰۰
واتفورد,واتفورد، هرتفوردشر,ویکاریج رود,۲۱٬۹۷۰
وست بروم آلبیون,وست برومویچ، میدلندز غربی,هاوتورنز,۲۶٬۵۰۰
وستهام یونایتد,استراتفورد، لندن بزرگ,ورزشگاه لندن,۵۷٬۰۰۰
