تیم,موقعیت,ورزشگاه,گنجایش
آرسنال,هالووی، لندن,ورزشگاه امارات,۵۹٬۸۶۷
بورنموث,باسکوم، بورنموث,ورزشگاه وایتالیتی,۱۱٬۳۶۰
برایتون و هاو آلبیون,فالمر، برایتون اند هوو,ورزشگاه آمکس,۳۰٬۶۶۶
برنلی,برنلی,تارف مور,۲۱٬۹۴۴
چلسی,فولام، لندن,استمفورد بریج,۴۱٬۶۳۱
کریستال پالاس,سلهارست، لندن,سلهارست پارک,۲۵٬۴۵۶
اورتون,لیورپول,گودیسون پارک,۳۹٬۵۹۵
هادرزفیلد تاون,هادرزفیلد,ورزشگاه کرکلیس,۲۴٬۱۶۹
لستر سیتی,لستر,ورزشگاه کینگ پاور,۳۲٬۲۷۳
لیورپول,لیورپول,آنفیلد,۵۳٬۳۹۴
منچسترسیتی,منچستر,ورزشگاه اتحاد,۵۵٬۰۱۷
منچستر یونایتد,منچستر,الدترافورد,۷۴٬۹۹۴
نیوکاسل یونایتد,نیوکاسل اِپان تاین,سنت جیمز پارک,۵۲٬۳۵۴
ساوت‌همپتون,ساوت‌همپتون,ورزشگاه سنت مری,۳۲٬۳۸۴
استوک سیتی,استوک-آن-ترنت,ورزشگاه بت ۳۶۵,۳۰٬۰۸۹
سوانزی سیتی,سوانزی,ورزشگاه لیبرتی,۲۱٬۰۸۸
تاتنهام هاتسپر,ومبلی، لندن,ورزشگاه ومبلی,۹۰٫۰۰۰
واتفورد,واتفورد,ویکاریج رود,۲۱٬۰۰۰
وست بروم آلبیون,وست برومویچ,هاوتورنز,۲۶٬۶۸۸
وستهام یونایتد,استراتفورد، لندن,ورزشگاه لندن,۶۰٬۰۰۰
