تیم سال پی‌اف‌ای[۱۳۹],تیم سال پی‌اف‌ای[۱۳۹].1,تیم سال پی‌اف‌ای[۱۳۹].2,تیم سال پی‌اف‌ای[۱۳۹].3,تیم سال پی‌اف‌ای[۱۳۹].4,تیم سال پی‌اف‌ای[۱۳۹].5,تیم سال پی‌اف‌ای[۱۳۹].6,تیم سال پی‌اف‌ای[۱۳۹].7,تیم سال پی‌اف‌ای[۱۳۹].8,تیم سال پی‌اف‌ای[۱۳۹].9,تیم سال پی‌اف‌ای[۱۳۹].10,تیم سال پی‌اف‌ای[۱۳۹].11,تیم سال پی‌اف‌ای[۱۳۹].12
دروازه‌بان,داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد),داوید د خیا (منچستر یونایتد)
دفاع,کایل واکر (منچستر سیتی),کایل واکر (منچستر سیتی),کایل واکر (منچستر سیتی),نیکولاس اوتامندی (منچستر سیتی),نیکولاس اوتامندی (منچستر سیتی),نیکولاس اوتامندی (منچستر سیتی),یان فرتونگن (تاتنهام هاتسپر),یان فرتونگن (تاتنهام هاتسپر),یان فرتونگن (تاتنهام هاتسپر),مارکوس آلونسو (چلسی),مارکوس آلونسو (چلسی),مارکوس آلونسو (چلسی)
هافبک,داوید سیلوا (منچستر سیتی),داوید سیلوا (منچستر سیتی),داوید سیلوا (منچستر سیتی),داوید سیلوا (منچستر سیتی),کریستین اریکسن (تاتنهام هاتسپر),کریستین اریکسن (تاتنهام هاتسپر),کریستین اریکسن (تاتنهام هاتسپر),کریستین اریکسن (تاتنهام هاتسپر),کوین دی بروینه (منچستر سیتی),کوین دی بروینه (منچستر سیتی),کوین دی بروینه (منچستر سیتی),کوین دی بروینه (منچستر سیتی)
حمله,محمد صلاح (لیورپول),محمد صلاح (لیورپول),محمد صلاح (لیورپول),محمد صلاح (لیورپول),هری کین (تاتنهام هاتسپر),هری کین (تاتنهام هاتسپر),هری کین (تاتنهام هاتسپر),هری کین (تاتنهام هاتسپر),سرخیو آگوئرو (منچستر سیتی),سرخیو آگوئرو (منچستر سیتی),سرخیو آگوئرو (منچستر سیتی),سرخیو آگوئرو (منچستر سیتی)
