رتبه,بازیکن,باشگاه,گل
۱,محمد صلاح,لیورپول,۳۲
۲,هری کین,تاتنهام هاتسپر,۳۰
۳,سرخیو آگوئرو,منچستر سیتی,۲۱
۴,جیمی واردی,لستر سیتی,۲۰
۵,رحیم استرلینگ,منچستر سیتی,۱۸
۶,روملو لوکاکو,منچستر یونایتد,۱۶
۷,روبرتو فیرمینو,لیورپول,۱۵
۸,الکساندر لاکازت,آرسنال,۱۴
۹,گابریل ژسوس,منچستر سیتی,۱۳
۱۰,ادن آزار,چلسی,۱۲
۱۰,ریاض محرز,لستر سیتی,۱۲
۱۰,گلن مورای,برایتون اند هوو آلبیون,۱۲
۱۰,سون هیونگ-مین,تاتنهام هاتسپر,۱۲
