رتبه,بازیکن,باشگاه,تعداد کلین شیت[۱۰۷]
۱,داوید د خیا,منچستر یونایتد,۱۸
۲,ادرسون,منچستر سیتی,۱۶
۳,تیبو کورتوا,چلسی,۱۵
۳,اوگو لیوریس,تاتنهام هاتسپر,۱۵
۵,پیتر چک,آرسنال,۱۱
۵,نیک پوپ,برنلی,۱۱
۷,بن فاستر,وست برومویچ آلبیون,۱۰
۷,لوریس کاریوس,لیورپول,۱۰
۷,یوناس لوزل,هادرزفیلد تاون,۱۰
۷,جردن پیکفورد,اورتون,۱۰
۷,متیو رایان,برایتون و هاو آلبیون,۱۰
