Month,Manager,Player
August 2006,Sir Alex Ferguson (Manchester United),Ryan Giggs (Manchester United)
September 2006,Steve Coppell (Reading),Andrew Johnson (Everton)
October 2006,Sir Alex Ferguson (Manchester United),Paul Scholes (Manchester United)
November 2006,Steve Coppell (Reading),Cristiano Ronaldo (Manchester United)
December 2006,Sam Allardyce (Bolton),Cristiano Ronaldo (Manchester United)
January 2007,Rafael Benítez (Liverpool),Cesc Fàbregas (Arsenal)
February 2007,Sir Alex Ferguson (Manchester United),Ryan Giggs (Manchester United)
March 2007,José Mourinho (Chelsea),Petr Čech (Chelsea)
April 2007,Martin O'Neill (Aston Villa),Robbie Keane (Tottenham Hotspur) Dimitar Berbatov (Tottenham Hotspur)[a]
