Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Charlton Athletic,Alan Curbishley,End of contract,24 April 2006[2],Pre-season,Iain Dowie,27 May 2006
Middlesbrough,Steve McClaren,Signed by England,4 May 2006[3],Pre-season,Gareth Southgate,7 June 2006[4]
Aston Villa,David O'Leary,Sacked,19 July 2006,Pre-season,Martin O'Neill,4 August 2006[5]
Charlton Athletic,Iain Dowie,Sacked,13 November 2006[6],20th,Les Reed,13 November 2006
West Ham United,Alan Pardew,Sacked,11 December 2006[7],18th,Alan Curbishley,13 December 2006[8]
Charlton Athletic,Les Reed,Sacked,20 December 2006,19th,Alan Pardew,24 December 2006[9]
Fulham,Chris Coleman,Sacked,10 April 2007[10],15th,Lawrie Sanchez,10 April 2007
Bolton Wanderers,Sam Allardyce,Resigned,29 April 2007[11],5th,Sammy Lee,30 April 2007[12]
Newcastle United,Glenn Roeder,Resigned,6 May 2007[13],13th,Nigel Pearson (caretaker),6 May 2007
